Date,Open,High,Low,Close,Adj Close,Volume
2022-03-22,34.000000,34.150002,33.000000,33.599998,33.289841,7695
2022-03-23,33.549999,34.099998,33.000000,34.099998,33.785225,10368
2022-03-24,33.950001,33.950001,32.799999,32.900002,32.596306,7172
2022-03-25,33.950001,33.950001,32.299999,32.450001,32.150459,5899
2022-03-28,32.450001,32.799999,32.000000,32.799999,32.497223,5440
2022-03-29,32.799999,33.950001,32.700001,33.450001,33.141224,7428
2022-03-30,33.599998,34.299999,32.250000,33.799999,33.487995,17603
2022-03-31,34.250000,34.250000,32.750000,32.750000,32.447685,3262
2022-04-01,32.750000,33.549999,32.650002,33.099998,32.794453,6631
2022-04-04,33.099998,34.250000,33.099998,34.099998,33.785225,8543
2022-04-05,34.400002,34.750000,33.549999,34.099998,33.785225,7315
2022-04-06,34.349998,34.400002,32.700001,33.900002,33.587070,10809
2022-04-07,37.650002,38.700001,35.049999,35.400002,35.073227,102143
2022-04-08,35.150002,36.150002,34.450001,35.000000,34.676918,25044
2022-04-11,35.250000,35.349998,33.450001,33.950001,33.636608,15958
2022-04-12,33.500000,34.700001,33.349998,34.099998,33.785225,6285
2022-04-13,34.500000,35.299999,34.200001,34.400002,34.082455,9764
2022-04-14,34.950001,35.450001,34.099998,35.349998,35.197628,10133
2022-04-19,35.650002,35.650002,34.349998,35.650002,35.496338,8871
2022-04-20,35.599998,36.000000,35.200001,35.500000,35.346981,6240
2022-04-21,35.000000,35.849998,34.700001,35.400002,35.247414,8625
2022-04-22,35.000000,35.250000,33.150002,33.150002,33.007114,23266
2022-04-25,33.299999,33.400002,31.850000,32.700001,32.559052,15393
2022-04-26,32.799999,33.150002,31.200001,31.450001,31.314440,9271
2022-04-27,31.400000,32.549999,30.750000,31.750000,31.613146,15450
2022-04-28,31.750000,32.150002,30.799999,31.150000,31.015732,10117
2022-04-29,31.799999,32.299999,31.450001,31.500000,31.364223,9099
2022-05-02,31.450001,31.450001,29.750000,30.350000,30.219181,19861
2022-05-03,31.600000,31.600000,30.650000,31.250000,31.115301,14757
2022-05-04,31.299999,31.299999,30.400000,30.900000,30.766809,10537
2022-05-05,31.299999,31.950001,30.200001,30.650000,30.517887,24211
2022-05-06,31.000000,31.000000,29.549999,30.250000,30.119612,17886
2022-05-09,30.000000,30.000000,28.350000,28.500000,28.377155,23144
2022-05-10,28.799999,29.049999,27.799999,28.100000,27.978880,34750
2022-05-11,28.250000,28.950001,27.799999,28.450001,28.327372,18492
2022-05-12,28.350000,28.350000,27.100000,27.650000,27.530817,36524
2022-05-13,28.000000,29.850000,27.950001,29.299999,29.173706,56146
2022-05-16,29.350000,29.900000,28.450001,29.250000,29.123922,18423
2022-05-17,29.400000,30.000000,29.200001,29.299999,29.173706,13268
2022-05-18,29.299999,29.299999,28.400000,28.500000,28.377155,11512
2022-05-19,28.350000,28.799999,27.750000,28.799999,28.675861,14897
2022-05-20,28.850000,29.299999,28.549999,29.000000,28.875000,6714
2022-05-23,29.100000,29.350000,28.600000,29.000000,28.875000,2832
2022-05-24,28.799999,29.400000,28.700001,29.400000,29.273275,8463
2022-05-25,29.500000,29.500000,28.400000,29.400000,29.273275,10614
2022-05-27,29.049999,30.750000,29.049999,30.200001,30.069828,21417
2022-05-30,30.900000,30.900000,29.799999,30.000000,29.870689,7233
2022-05-31,30.150000,30.150000,29.250000,29.600000,29.472414,9435
2022-06-01,29.600000,30.100000,29.049999,29.850000,29.721336,15464
2022-06-02,28.950001,29.100000,27.450001,27.650000,27.530817,66676
2022-06-03,28.250000,28.250000,26.650000,26.900000,26.784050,26456
2022-06-06,26.950001,27.500000,26.650000,26.799999,26.684481,6719
2022-06-07,26.850000,27.200001,26.250000,26.600000,26.485344,18728
2022-06-08,27.000000,28.150000,26.600000,28.150000,28.028664,40620
2022-06-09,28.150000,28.150000,27.250000,27.450001,27.331680,8819
2022-06-10,27.200001,27.650000,26.900000,27.400000,27.281895,15493
2022-06-13,27.150000,27.850000,26.100000,27.799999,27.680170,58460
2022-06-14,27.799999,27.799999,26.799999,27.400000,27.281895,11866
2022-06-15,27.600000,27.750000,27.250000,27.400000,27.281895,10602
2022-06-16,27.049999,27.700001,26.900000,27.350000,27.232111,20337
2022-06-17,27.350000,28.150000,27.350000,27.500000,27.381464,18192
2022-06-20,27.400000,28.299999,27.000000,27.500000,27.381464,9747
2022-06-21,27.549999,28.150000,27.549999,28.000000,27.879311,4767
2022-06-22,27.650000,27.650000,26.700001,27.500000,27.381464,4003
2022-06-23,27.500000,27.500000,26.700001,26.850000,26.734266,2686
2022-06-27,26.650000,27.799999,26.100000,26.150000,26.037283,11632
2022-06-28,26.299999,26.950001,25.500000,25.650000,25.539438,6900
2022-06-29,25.500000,25.500000,25.000000,25.200001,25.091379,8078
2022-06-30,24.650000,25.100000,24.200001,24.250000,24.145473,9379
2022-07-01,24.900000,24.900000,23.799999,24.200001,24.095690,9609
2022-07-04,24.400000,24.549999,23.900000,24.100000,23.996120,9422
2022-07-05,24.150000,25.299999,24.100000,24.750000,24.643318,12921
2022-07-06,24.799999,25.350000,24.700001,24.900000,24.792671,7774
2022-07-07,25.000000,25.549999,24.750000,25.549999,25.439869,8065
2022-07-08,26.000000,26.150000,25.000000,25.299999,25.190947,9474
2022-07-11,25.299999,25.400000,24.450001,24.850000,24.742887,9867
2022-07-12,24.850000,24.900000,24.400000,24.650000,24.543749,2980
2022-07-13,24.650000,24.650000,23.900000,24.450001,24.344612,9367
2022-07-14,24.400000,24.400000,23.350000,24.150000,24.045904,8740
2022-07-15,24.100000,24.100000,23.750000,24.000000,23.896551,4490
2022-07-18,24.000000,24.450001,24.000000,24.000000,23.896551,7904
2022-07-19,24.000000,24.250000,23.549999,23.700001,23.597845,8311
2022-07-20,23.650000,24.500000,23.450001,24.350000,24.245043,18784
2022-07-21,24.400000,25.049999,24.000000,25.049999,24.942024,9197
2022-07-22,25.049999,25.299999,24.600000,25.250000,25.141163,6483
2022-07-25,25.250000,25.750000,24.900000,25.350000,25.240732,8356
2022-07-26,26.200001,26.200001,25.100000,25.700001,25.589224,13108
2022-07-27,24.950001,25.549999,24.850000,25.400000,25.290516,6712
2022-07-28,25.400000,25.850000,25.049999,25.600000,25.489655,4421
2022-07-29,25.750000,26.750000,25.549999,26.350000,26.236422,11176
2022-08-01,26.350000,26.850000,25.750000,26.000000,25.887930,5573
2022-08-02,22.200001,22.250000,20.450001,21.600000,21.506897,107518
2022-08-03,21.850000,22.400000,21.750000,22.100000,22.004742,17587
2022-08-04,22.200001,23.500000,22.200001,23.350000,23.249353,16827
2022-08-05,23.299999,23.299999,22.350000,22.650000,22.552370,9861
2022-08-08,22.750000,23.049999,22.299999,22.350000,22.253664,10072
2022-08-09,22.350000,22.950001,22.150000,22.250000,22.154095,8482
2022-08-10,22.500000,23.150000,21.850000,23.000000,22.900862,7694
2022-08-11,23.299999,23.500000,22.600000,23.049999,22.950645,7593
